,NCESSCH,TITLEI,LEAID,G12,SCHOOL_LEVEL,TOTFRL,FTE,STUTERATIO,TOTMENROL,TOTFENROL,PCT_MEN,PCT_FEN,PCT_FRL,SCHOOL_TYPE,STNAM,FIPST,ALL_RATE,ALL_COHORT,MAM_COHORT,MAS_COHORT,MBL_COHORT,MHI_COHORT,MTR_COHORT,MWH_COHORT,CWD_COHORT,ECD_COHORT,FCS_COHORT,HOM_COHORT,LEP_COHORT,Success_Rate,PPCSTOT,MATH_NUM,MATH_PCT,READ_NUM,READ_PCT
15538,510030000129,Not Applicable,5100300,114,High,134,36.25,12.6,261,196,0.5711159737,0.5711159737,0.2932166302,1,VIRGINIA,51,95,119,0,0,0,2,5,112,4,35,0,3,0,1,10946,201,95,50.59406569,80
15539,510030000132,Not Applicable,5100300,168,High,242,53.59000015,13.2,399,307,0.5651558074,0.5651558074,0.342776204,1,VIRGINIA,51,85,187,1,1,1,9,5,170,18,59,0,1,0,1,10946,311,94,50.59406569,85
15540,510030000138,Not Applicable,5100300,177,High,276,55.36999893,14.2,401,384,0.5108280255,0.5108280255,0.3515923567,1,VIRGINIA,51,85,177,1,3,9,10,6,148,11,61,1,1,5,1,10946,349,90,50.59406569,85
15541,510369001606,Not Applicable,5103690,192,High,357,61.86999893,12.5,385,386,0.4993514916,0.4993514916,0.4630350195,1,VIRGINIA,51,85,200,0,3,40,14,18,125,30,94,1,8,9,1,13036,380,80,203,80
15542,510393001759,Not Applicable,5103930,200,High,412,67.37000275,12.5,440,404,0.5213270142,0.5213270142,0.4881516588,1,VIRGINIA,51,86,220,0,3,44,30,9,134,30,102,1,4,6,1,12022,376,75,174,80
15543,510264002344,Not Applicable,5102640,53,High,398,31.92000008,14.8,203,271,0.4282700422,0.4282700422,0.8396624473,1,VIRGINIA,51,90,53,0,0,50,3,0,0,5,33,0,2,0,1,11707,85,85,50,80
15544,510264001047,Not Applicable,5102640,261,High,834,98.80000305,13.2,783,524,0.5990818669,0.5990818669,0.6381025249,1,VIRGINIA,51,83,275,1,12,153,47,7,55,44,119,0,1,42,1,11707,497,76,333,68
15545,510264001063,Not Applicable,5102640,367,High,496,97.76000214,15.7,820,718,0.533159948,0.533159948,0.322496749,1,VIRGINIA,51,95,373,1,12,133,34,12,181,49,127,0,12,0,1,11707,566,83,408,85
15546,510264001076,Not Applicable,5102640,384,High,1268,95.20999908,16.5,721,853,0.458068615,0.458068615,0.8055908513,1,VIRGINIA,51,87,399,0,17,189,54,13,126,62,162,0,6,17,1,11707,580,73,380,82
15547,510264001451,Not Applicable,5102640,271,High,963,74,15.8,639,533,0.545221843,0.545221843,0.8216723549,1,VIRGINIA,51,84,295,1,1,252,14,8,19,41,144,1,6,2,1,11707,373,80,277,75
15548,510264001453,Not Applicable,5102640,480,High,872,118.6800003,15.9,810,1081,0.4283447911,0.4283447911,0.4611316764,1,VIRGINIA,51,97,495,0,15,276,56,27,121,40,211,0,3,3,1,11707,690,87,444,87
